,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
0,La Meduse,Paris,"['French', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",1,5,$$ - $$$,178,"[[""You can't figure out from the outside the..."", 'Cosy little restaurant on the border of Ca...'], ['12/23/2017', '12/23/2017']]",/Restaurant_Review-g187147-d10622151-Reviews-La_Meduse-Paris_Ile_de_France.html,d10622151
1,Le Cappiello,Paris,"['French', 'Mediterranean', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",2,5,$$ - $$$,208,"[['Incredible!', 'Amazing food, wonderful atmosphere!'], ['01/02/2018', '01/01/2018']]",/Restaurant_Review-g187147-d12082727-Reviews-Le_Cappiello-Paris_Ile_de_France.html,d12082727
2,ASPIC,Paris,"['French', 'European', 'Contemporary']",3,5,$$$$,427,"[['Second time and just as good', 'Best dinner in Paris by far'], ['01/06/2018', '01/03/2018']]",/Restaurant_Review-g187147-d9806534-Reviews-ASPIC-Paris_Ile_de_France.html,d9806534
3,Les Apotres de Pigalle,Paris,"['South American', 'Brew Pub', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4,5,$$ - $$$,1152,"[['Wonderful culinary experience', 'Must go restaurant in Paris'], ['01/04/2018', '01/01/2018']]",/Restaurant_Review-g187147-d10514254-Reviews-Les_Apotres_de_Pigalle-Paris_Ile_de_France.html,d10514254
4,Epicure,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",5,5,$$$$,2305,"[['Very nice place', 'Speechless'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html,d719052
5,Sourire Le Restaurant,Paris,"['French', 'European', 'Contemporary', 'Gastropub']",6,5,$$$$,198,"[['Great service', 'Just excellent'], ['01/06/2018', '01/02/2018']]",/Restaurant_Review-g187147-d11857149-Reviews-Sourire_Le_Restaurant-Paris_Ile_de_France.html,d11857149
6,Le Cinq,Paris,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",7,4.5,$$$$,1887,"[['Breath taking ambience and great service', 'Grande Birthday Celebration'], ['01/07/2018', '01/01/2018']]",/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html,d699456
7,Il Etait Un Square,Paris,"['French', 'Steakhouse', 'Vegetarian Friendly']",8,5,$$ - $$$,1600,"[['Excellent dining experience', 'Great burgers'], ['01/08/2018', '01/05/2018']]",/Restaurant_Review-g187147-d6575305-Reviews-Il_Etait_Un_Square-Paris_Ile_de_France.html,d6575305
8,Boutary,Paris,"['French', 'Seafood', 'Gastropub', 'European', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",9,5,$$$$,533,"[['They will get the star for 2 reasons', 'A fantastic anniversary dinner'], ['01/01/2018', '12/28/2017']]",/Restaurant_Review-g187147-d9783452-Reviews-Boutary-Paris_Ile_de_France.html,d9783452
9,Kei Restaurant,Paris,"['French', 'Vegetarian Friendly', 'Gluten Free Options']",10,4.5,$$$$,689,"[['Amazing!!', 'Magnifique'], ['12/23/2017', '12/12/2017']]",/Restaurant_Review-g187147-d2105853-Reviews-Kei_Restaurant-Paris_Ile_de_France.html,d2105853
